name,ring,quadrant,isNew,moved,description
testHold,Hold,tools,true,0,Test for hold
testAssess,Assess,tools,true,3,Test for assess
testTrial,Trial,tools,true,-2,Test for Trail
testAdopt,Adopt,tools,true,2,Test for Adopt
vHcZeRVB,Assess,tools,true,-2,xRZQYvMqRRfcSQGMwEbDXvzVgLIOoNNEfogREkpNZsgG
KQeWrSx,Hold,tools,false,2,qostWQLwJqqzCPUdWhqKrIXZHgiNVBLoodjkzWXrShMwCExNGXguNaTXcMzIbHOrMKlpYGMnoopEtJzRylWBJ
ppTDmwYevG,Assess,tools,false,0,EUiUCeutUgxfAtXsVFLqDoaEeRMVLUOmQr
ggycrVe,Hold,tools,false,2,QoMYuqgosnbzcvjEescwcjgWAxRHpJcqcv
IVRwVocdnyPijOD,Hold,tools,false,0,NwckAIxQKQoRGSEAnTKaFWWguT
vaOiRtY,Adopt,tools,true,2,kJyPHYKcFReATXEKjQNkUdhhAxLNUTCGBHvNehGwxhkgcyrGh
BacsRMVCtnTcZKe,Hold,tools,false,2,QfggZiLLdBKODltRGugqrkDbPZvaoqckzNkSPvpNAxD
Zue,Trial,tools,false,1,WuswCiTJoTUEAtxFfbHMkRVIotAXqNfnqSfOzDIFrxwYWVQyZeKTnBNThyAakiIFqWyj
MEZkfzwER,Trial,tools,true,-2,SvfjZITyPWyHFYKSXuYCtBiuLqNeUJPzMQYcgShhLeEAvpdAaTOOnKK
vgpaRoV,Hold,tools,false,1,kfDEgwGRcwNWRIDEsPeFzbHGmsAvBoVMIWaWMFeocdSsfSrNAKUJrojLufMlharJmqLXyJakzoV
bADvmlkueQcUGMG,Hold,tools,true,1,RkBLCAaIrLKHcTMDMsCegJdWvzJbBpYrsPQhAFdpNCTzIHIMxFugPMsYGNmekAmFVxWe
veiRZKQAo,Assess,tools,true,2,yUOPlRCtkmukckKhxaajAoWPGWhddaQTsYeHYevGsinmZhSQdwgnaqPCQIgtujuKZkEqHSiCTraWLtfGzRKXViykXCbOhLP
GmmwmwasjZ,Adopt,tools,false,3,smGjqzRAYBWikutmKUWPHWWCvIXUyFqMOXaryNLPdVrlkHVycGwmeMEvVtwJLTPaykUpVpvDJ
yqgTCexSqTjUNT,Assess,tools,true,1,TPsdVeGjpGjYBWpCgRLKmbWTjvMjPXBoVjHGHjTCJTNKzPrimTOOedEWRIIlHCVrxDUerTliHphopckuZICySmkNKzfiABqgcORFcVvVDqXGVtfhMFtdWgMZgkxJT
SrargUIlivtnMtw,Trial,tools,false,3,ElgxvWhpReuCQaYPvlzeyWFkkRxjKwHeFGjmHEgYNyUlLYfsoqNAgvJqHLlVNMyTGRdlafjtlXmBNLdNbJekRPtVyHzCsxHkiYjeGV
RzYdeTTlKeLln,Trial,tools,false,-3,bHwBcRDscRqLHXphhQhliOqXBYEAdMVTOeCKqZdwVPAUjQdrlRUtHidahJvwLkWCAKjYymboUbaTo
jUV,Hold,tools,true,1,IVcpVHWlGYZeywpYxYmEhmTiTJMTuiecWpssYBsGZEZkRxtTpeNdkxrWrJVHUiireqCHIgdLrVGfYUsasTcekOlcYTKht
IterXuA,Assess,tools,false,3,SZuhcZBEokpQvJlopOKglsIbWsGndMavdQQHrPqNMsRxbGVLvwsdVFYuCBFzRlQ
CAmIPJ,Assess,tools,false,-1,JSFteMEASBBfhHJAzjHnQuddIRXXwPCEiFYGzJFpVc
LbHXrRa,Trial,tools,true,-2,NwpFcczJeMfgIQhlhuLqgTScapxmuxBrAnVTrCQzGQIcpxoPtuVNnhRcj
vNdjmWqEJlSGqE,Assess,tools,false,3,VPHvTThJwlUPHqKuslXTzOlAKGaqaFEgcSXLYTXXuEuyvBOSSMGpfgJTLrgZBgHeUcQUrSFxtNJZVZjpdjjdWlfcXzdVHZofSROvZWdhyOvyeiaWRZNZODjUQfpBK
vFeH,Trial,tools,true,-3,ICihzKQEBVWckyCUaeZrEfqqtPYktIiKPqezJjPbqEtcYSTwjPNuPMnpfwuctumSroFtoKxoWRoCFMEguFeJzSkkFlMIPilNCszitJpMdyjIsau
HQMyxkE,Adopt,tools,false,1,nYYRNQRMqyjZXwRQtFdvNFdxTSqzQWmoqgkNHEZTPrqxZvCPNacIoVTZHAtcJT
BVOAxWb,Adopt,tools,false,-2,EkcdfjzwQptOOURIOCEJzdxEntLSypTahQYLJcCPcZJbHEPfNCIfCHQuEAMAXoY
RhaoSwc,Hold,tools,true,-1,UlTSVYzCnVfpClXQENXoMIRmipZAXGqQcSagqQUjwCvNjYjNajXqBLPyaghMKY
aTXnky,Hold,tools,true,-1,rmgurtLOIRFgIchiefVYzrEiYruKzdVoCGZZTTFRdGA
CHzXFy,Hold,tools,true,1,nWlAWOmdvPQhXGdwHdUpbRfJggjv
JjlFUy,Adopt,tools,true,-3,nehgRElQDgproXPinoQIpaqdpSzmiWPxJXzkPyqBAIavmLbVkEDMlecryLVSHqofJCqRTLnFEmdcONAcZhDjKl
PMotN,Hold,tools,false,-1,eEIIVBtOMlbWfpeNdYZEQkvRiuVuEgmEThpQAvpoVswXlGIDvcryRPCRRFB
mgImanDFn,Hold,tools,false,-1,NaPyoWMRWsuaCVWQIWXoLbXaqWfHweXOu
dfxNMP,Hold,tools,false,-2,ZFLPzoTdoTZwIZetcUKdyMWoYabkMkiwuOsKQpASmdqMBzbmjkqHRUdHdgeTysEyppeaVIeDejWHRBGgkiTLwZotagJoLAks
brhbUSLXzjqMPu,Trial,tools,true,3,lvWSsxfSEKxyGvxfpwFikVArPvejcrRZWggKlDcRJkJtqzHuKRwwbydEjEvXppPkOWJaxTFyJOOLXELaxzCedAqC
MUUKiXcuzYggK,Assess,tools,false,-1,XjEDzsJhcPHhCweFsJqOtPKYtlhpGXl
pRpQhnEjSHiwiNK,Hold,tools,true,2,AdboKBsCtzMhgZmVVJXmjoqcBnjMxqMyDrxSKPphqoHNNyabjRssMuuULIdqGUcVNgmQPYpyFEWBUIIqVlkBjIResOqrYnkC
EoPayRXdjKmsOmM,Adopt,tools,false,3,YBEFNmTlPqLelXVCYxUVUDYycBSoTpRshuswniyfGALv
